title,cast,director,keywords,genres,soup
Noah,"['russellcrowe', 'jenniferconnelly', 'emmawatson']",darrenaronofsky,"['bible', 'god', 'noah']","['drama', 'adventure']",bible god noah russellcrowe jenniferconnelly emmawatson d a r r e n a r o n o f s k y drama adventure
The Adventures of Tintin,"['jamiebell', 'andyserkis', 'danielcraig']",stevenspielberg,"['riddle', 'captain', 'treasure']","['adventure', 'animation', 'mystery']",riddle captain treasure jamiebell andyserkis danielcraig s t e v e n s p i e l b e r g adventure animation mystery
Harry Potter and the Prisoner of Azkaban,"['danielradcliffe', 'rupertgrint', 'emmawatson']",alfonsocuarón,"['flying', 'traitor', 'magic']","['adventure', 'fantasy', 'family']",flying traitor magic danielradcliffe rupertgrint emmawatson a l f o n s o c u a r ó n adventure fantasy family
Australia,"['nicolekidman', 'hughjackman', 'essiedavis']",bazluhrmann,"['missionary', 'worldwarii', 'ranch']",['drama'],missionary worldwarii ranch nicolekidman hughjackman essiedavis b a z l u h r m a n n drama
After Earth,"['jadensmith', 'willsmith', 'sophieokonedo']",m.nightshyamalan,['dystopia'],"['sciencefiction', 'action', 'adventure']",dystopia jadensmith willsmith sophieokonedo m . n i g h t s h y a m a l a n sciencefiction action adventure
Dinosaur,"['d.b.sweeney', 'alfrewoodard', 'ossiedavis']",ralphzondag,"['cataclysm', 'asteroid', 'leader']","['animation', 'family']",cataclysm asteroid leader d.b.sweeney alfrewoodard ossiedavis r a l p h z o n d a g animation family
Night at the Museum: Secret of the Tomb,"['benstiller', 'ramimalek', 'rebelwilson']",shawnlevy,"['nightwatchman', 'museum', 'naturalhistory']","['adventure', 'comedy', 'fantasy']",nightwatchman museum naturalhistory benstiller ramimalek rebelwilson s h a w n l e v y adventure comedy fantasy
Megamind,"['willferrell', 'bradpitt', 'tinafey']",tommcgrath,"['savingtheworld', 'date', 'prison']","['animation', 'action', 'comedy']",savingtheworld date prison willferrell bradpitt tinafey t o m m c g r a t h animation action comedy
Harry Potter and the Philosopher's Stone,"['danielradcliffe', 'rupertgrint', 'emmawatson']",chriscolumbus,"['witch', 'christmasparty', 'magic']","['adventure', 'fantasy', 'family']",witch christmasparty magic danielradcliffe rupertgrint emmawatson c h r i s c o l u m b u s adventure fantasy family
R.I.P.D.,"['jeffbridges', 'ryanreynolds', 'kevinbacon']",robertschwentke,"['gold', 'policeoperation', 'partner']","['fantasy', 'action', 'comedy']",gold policeoperation partner jeffbridges ryanreynolds kevinbacon r o b e r t s c h w e n t k e fantasy action comedy
Pirates of the Caribbean: The Curse of the Black Pearl,"['johnnydepp', 'geoffreyrush', 'orlandobloom']",goreverbinski,"['exoticisland', 'blacksmith', 'eastindiatradingcompany']","['adventure', 'fantasy', 'action']",exoticisland blacksmith eastindiatradingcompany johnnydepp geoffreyrush orlandobloom g o r e v e r b i n s k i adventure fantasy action
The Hunger Games: Mockingjay - Part 1,"['jenniferlawrence', 'joshhutcherson', 'liamhemsworth']",francislawrence,"['resistance', 'post-apocalyptic', 'dystopia']","['sciencefiction', 'adventure', 'thriller']",resistance post-apocalyptic dystopia jenniferlawrence joshhutcherson liamhemsworth f r a n c i s l a w r e n c e sciencefiction adventure thriller
The Da Vinci Code,"['tomhanks', 'audreytautou', 'ianmckellen']",ronhoward,"['paris', 'holygrail', 'christianity']","['thriller', 'mystery']",paris holygrail christianity tomhanks audreytautou ianmckellen r o n h o w a r d thriller mystery
Rio 2,"['jesseeisenberg', 'annehathaway', 'lesliemann']",carlossaldanha,"['bird', 'sequel', 'jungle']","['animation', 'adventure', 'comedy']",bird sequel jungle jesseeisenberg annehathaway lesliemann c a r l o s s a l d a n h a animation adventure comedy
X2,"['patrickstewart', 'hughjackman', 'ianmckellen']",bryansinger,"['mutant', 'marvelcomic', 'superhero']","['adventure', 'action', 'sciencefiction']",mutant marvelcomic superhero patrickstewart hughjackman ianmckellen b r y a n s i n g e r adventure action sciencefiction
Fast Five,"['vindiesel', 'paulwalker', 'jordanabrewster']",justinlin,"['brazil', 'fbi', 'freedom']","['action', 'thriller', 'crime']",brazil fbi freedom vindiesel paulwalker jordanabrewster j u s t i n l i n action thriller crime
Sherlock Holmes: A Game of Shadows,"['robertdowneyjr.', 'judelaw', 'jaredharris']",guyritchie,"['detectiveinspector', 'steampunk', 'criminalmastermind']","['adventure', 'action', 'crime']",detectiveinspector steampunk criminalmastermind robertdowneyjr. judelaw jaredharris g u y r i t c h i e adventure action crime
Clash of the Titans,"['samworthington', 'liamneeson', 'ralphfiennes']",louisleterrier,"['hades', 'mythology', 'greekmythology']","['adventure', 'fantasy', 'action']",hades mythology greekmythology samworthington liamneeson ralphfiennes l o u i s l e t e r r i e r adventure fantasy action
Total Recall,"['arnoldschwarzenegger', 'sharonstone', 'rachelticotin']",paulverhoeven,"['oxygen', 'falselyaccused', 'resistance']","['action', 'adventure', 'sciencefiction']",oxygen falselyaccused resistance arnoldschwarzenegger sharonstone rachelticotin p a u l v e r h o e v e n action adventure sciencefiction
The 13th Warrior,"['antoniobanderas', 'vladimirkulich', 'dennisstorhøi']",johnmctiernan,"['witch', 'cave', 'arabian']","['adventure', 'fantasy', 'action']",witch cave arabian antoniobanderas vladimirkulich dennisstorhøi j o h n m c t i e r n a n adventure fantasy action
The Bourne Legacy,"['jeremyrenner', 'rachelweisz', 'edwardnorton']",tonygilroy,"['assassin', 'wolf', 'maryland']","['action', 'thriller']",assassin wolf maryland jeremyrenner rachelweisz edwardnorton t o n y g i l r o y action thriller
Batman & Robin,"['georgeclooney', ""chriso'donnell"", 'arnoldschwarzenegger']",joelschumacher,"['doublelife', 'dccomics', 'dualidentity']","['action', 'crime', 'fantasy']",doublelife dccomics dualidentity georgeclooney chriso'donnell arnoldschwarzenegger j o e l s c h u m a c h e r action crime fantasy
How the Grinch Stole Christmas,"['jimcarrey', 'taylormomsen', 'jeffreytambor']",ronhoward,"['holiday', 'christmasparty', 'newlove']","['family', 'comedy', 'fantasy']",holiday christmasparty newlove jimcarrey taylormomsen jeffreytambor r o n h o w a r d family comedy fantasy
The Day After Tomorrow,"['dennisquaid', 'jakegyllenhaal', 'emmyrossum']",rolandemmerich,"['savingtheworld', 'library', 'cataclysm']","['action', 'adventure', 'sciencefiction']",savingtheworld library cataclysm dennisquaid jakegyllenhaal emmyrossum r o l a n d e m m e r i c h action adventure sciencefiction
Mission: Impossible II,"['tomcruise', 'dougrayscott', 'thandienewton']",johnwoo,"['terror', 'spain', 'cia']","['adventure', 'action', 'thriller']",terror spain cia tomcruise dougrayscott thandienewton j o h n w o o adventure action thriller
The Perfect Storm,"['georgeclooney', 'markwahlberg', 'dianelane']",wolfgangpetersen,"['u.s.airforce', 'grocery', 'jamaican']",['drama'],u.s.airforce grocery jamaican georgeclooney markwahlberg dianelane w o l f g a n g p e t e r s e n drama
Fantastic 4: Rise of the Silver Surfer,"['ioangruffudd', 'jessicaalba', 'chrisevans']",timstory,"['fire', 'helicopter', 'surfboard']","['adventure', 'fantasy', 'action']",fire helicopter surfboard ioangruffudd jessicaalba chrisevans t i m s t o r y adventure fantasy action
Life of Pi,"['surajsharma', 'irrfankhan', 'ayushtandon']",anglee,"['ocean', 'shipwreck', 'hindu']","['adventure', 'drama', 'action']",ocean shipwreck hindu surajsharma irrfankhan ayushtandon a n g l e e adventure drama action
Ghost Rider,"['nicolascage', 'evamendes', 'wesbentley']",markstevenjohnson,"['mephisto', 'religionandsupernatural', 'dyinganddeath']","['thriller', 'action', 'fantasy']",mephisto religionandsupernatural dyinganddeath nicolascage evamendes wesbentley m a r k s t e v e n j o h n s o n thriller action fantasy
Jason Bourne,"['mattdamon', 'aliciavikander', 'tommyleejones']",paulgreengrass,"['assassin', 'amnesia', 'flashback']","['action', 'thriller']",assassin amnesia flashback mattdamon aliciavikander tommyleejones p a u l g r e e n g r a s s action thriller
Charlie's Angels: Full Throttle,"['camerondiaz', 'drewbarrymore', 'lucyliu']",mcg,"['robbery', 'secretidentity', 'secretagent']","['action', 'adventure', 'comedy']",robbery secretidentity secretagent camerondiaz drewbarrymore lucyliu m c g action adventure comedy
Prometheus,"['noomirapace', 'michaelfassbender', 'guypearce']",ridleyscott,"['android', 'dystopia', 'alien']","['sciencefiction', 'adventure', 'mystery']",android dystopia alien noomirapace michaelfassbender guypearce r i d l e y s c o t t sciencefiction adventure mystery
Stuart Little 2,"['michaelj.fox', 'geenadavis', 'hughlaurie']",robminkoff,"['mouse', 'falcon', 'bird']","['family', 'adventure', 'animation']",mouse falcon bird michaelj.fox geenadavis hughlaurie r o b m i n k o f f family adventure animation
Elysium,"['mattdamon', 'jodiefoster', 'sharltocopley']",neillblomkamp,"['dystopia', 'spacestation', 'classconflict']","['sciencefiction', 'action', 'drama']",dystopia spacestation classconflict mattdamon jodiefoster sharltocopley n e i l l b l o m k a m p sciencefiction action drama
The Chronicles of Riddick,"['vindiesel', 'thandienewton', 'karlurban']",davidtwohy,"['prison', 'dystopia', 'matteroflifeanddeath']","['action', 'sciencefiction']",prison dystopia matteroflifeanddeath vindiesel thandienewton karlurban d a v i d t w o h y action sciencefiction
RoboCop,"['joelkinnaman', 'garyoldman', 'michaelkeaton']",josépadilha,"['cyborg', 'future', 'dystopia']","['action', 'sciencefiction']",cyborg future dystopia joelkinnaman garyoldman michaelkeaton j o s é p a d i l h a action sciencefiction
Speed Racer,"['emilehirsch', 'christinaricci', 'matthewfox']",lillywachowski,"['carrace', 'lossofbrother', 'chimp']","['action', 'family', 'sciencefiction']",carrace lossofbrother chimp emilehirsch christinaricci matthewfox l i l l y w a c h o w s k i action family sciencefiction
How Do You Know,"['reesewitherspoon', 'paulrudd', 'owenwilson']",jamesl.brooks,"['lovetriangle', 'baseball', 'athlete']","['comedy', 'drama', 'romance']",lovetriangle baseball athlete reesewitherspoon paulrudd owenwilson j a m e s l . b r o o k s comedy drama romance
Knight and Day,"['tomcruise', 'camerondiaz', 'petersarsgaard']",jamesmangold,"['spy', 'airport', 'gasstation']","['action', 'comedy']",spy airport gasstation tomcruise camerondiaz petersarsgaard j a m e s m a n g o l d action comedy
Oblivion,"['tomcruise', 'morganfreeman', 'olgakurylenko']",josephkosinski,"['spacecraft', 'dystopia', 'space']","['action', 'sciencefiction', 'adventure']",spacecraft dystopia space tomcruise morganfreeman olgakurylenko j o s e p h k o s i n s k i action sciencefiction adventure
Star Wars: Episode III - Revenge of the Sith,"['ewanmcgregor', 'natalieportman', 'haydenchristensen']",georgelucas,"['showdown', 'deathstar', 'vision']","['sciencefiction', 'adventure', 'action']",showdown deathstar vision ewanmcgregor natalieportman haydenchristensen g e o r g e l u c a s sciencefiction adventure action
Star Wars: Episode II - Attack of the Clones,"['ewanmcgregor', 'natalieportman', 'haydenchristensen']",georgelucas,"['senate', 'investigation', 'army']","['adventure', 'action', 'sciencefiction']",senate investigation army ewanmcgregor natalieportman haydenchristensen g e o r g e l u c a s adventure action sciencefiction
"Monsters, Inc.","['johngoodman', 'billycrystal', 'marygibbs']",petedocter,"['monster', 'infant', 'energysupply']","['animation', 'comedy', 'family']",monster infant energysupply johngoodman billycrystal marygibbs p e t e d o c t e r animation comedy family
The Wolverine,"['hughjackman', 'hiroyukisanada', 'famkejanssen']",jamesmangold,"['japan', 'samurai', 'mutant']","['action', 'sciencefiction', 'adventure']",japan samurai mutant hughjackman hiroyukisanada famkejanssen j a m e s m a n g o l d action sciencefiction adventure
Star Wars: Episode I - The Phantom Menace,"['liamneeson', 'ewanmcgregor', 'natalieportman']",georgelucas,"['prophecy', 'senate', 'queen']","['adventure', 'action', 'sciencefiction']",prophecy senate queen liamneeson ewanmcgregor natalieportman g e o r g e l u c a s adventure action sciencefiction
The Croods,"['nicolascage', 'emmastone', 'ryanreynolds']",chrissanders,"['stoneage', 'daughter', 'father']","['adventure', 'animation', 'comedy']",stoneage daughter father nicolascage emmastone ryanreynolds c h r i s s a n d e r s adventure animation comedy
Asterix at the Olympic Games,"['cloviscornillac', 'gérarddepardieu', 'franckdubosc']",thomaslangmann,"['competition', 'greece', 'colosseum']","['fantasy', 'adventure', 'comedy']",competition greece colosseum cloviscornillac gérarddepardieu franckdubosc t h o m a s l a n g m a n n fantasy adventure comedy
Windtalkers,"['nicolascage', 'adambeach', 'peterstormare']",johnwoo,"['japan', 'worldwarii', 'radiotransmission']","['drama', 'action', 'history']",japan worldwarii radiotransmission nicolascage adambeach peterstormare j o h n w o o drama action history
The Huntsman: Winter's War,"['chrishemsworth', 'charlizetheron', 'emilyblunt']",cedricnicolas-troyan,"['witch', 'magic', 'fairytale']","['action', 'adventure', 'drama']",witch magic fairytale chrishemsworth charlizetheron emilyblunt c e d r i c n i c o l a s - t r o y a n action adventure drama
Teenage Mutant Ninja Turtles,"['meganfox', 'willarnett', 'williamfichtner']",jonathanliebesman,"['martialarts', 'terrorist', 'hero']","['sciencefiction', 'action', 'adventure']",martialarts terrorist hero meganfox willarnett williamfichtner j o n a t h a n l i e b e s m a n sciencefiction action adventure
Gravity,"['sandrabullock', 'georgeclooney', 'edharris']",alfonsocuarón,"['spacemission', 'loss', 'space']","['sciencefiction', 'thriller', 'drama']",spacemission loss space sandrabullock georgeclooney edharris a l f o n s o c u a r ó n sciencefiction thriller drama
Dante's Peak,"['piercebrosnan', 'lindahamilton', 'jamierenéesmith']",rogerdonaldson,"['helicopter', 'smalltown', 'mayor']","['action', 'adventure', 'thriller']",helicopter smalltown mayor piercebrosnan lindahamilton jamierenéesmith r o g e r d o n a l d s o n action adventure thriller
Teenage Mutant Ninja Turtles: Out of the Shadows,"['meganfox', 'stephenamell', 'willarnett']",davegreen,"['brotherbrotherrelationship', 'turtle', 'sequel']","['fantasy', 'action', 'adventure']",brotherbrotherrelationship turtle sequel meganfox stephenamell willarnett d a v e g r e e n fantasy action adventure
Fantastic Four,"['milesteller', 'katemara', 'michaelb.jordan']",joshtrank,"['teleportation', 'transformation', 'telekinesis']","['action', 'adventure', 'sciencefiction']",teleportation transformation telekinesis milesteller katemara michaelb.jordan j o s h t r a n k action adventure sciencefiction
Night at the Museum,"['benstiller', 'jakecherry', 'carlagugino']",shawnlevy,"['museum', 'skeleton', 'nightshift']","['action', 'adventure', 'comedy']",museum skeleton nightshift benstiller jakecherry carlagugino s h a w n l e v y action adventure comedy
San Andreas,"['dwaynejohnson', 'alexandradaddario', 'carlagugino']",bradpeyton,"['california', 'earthquake', 'catastrophe']","['action', 'drama', 'thriller']",california earthquake catastrophe dwaynejohnson alexandradaddario carlagugino b r a d p e y t o n action drama thriller
Tomorrow Never Dies,"['piercebrosnan', 'jonathanpryce', 'michelleyeoh']",rogerspottiswoode,"['londonengland', 'england', 'spy']","['adventure', 'action', 'thriller']",londonengland england spy piercebrosnan jonathanpryce michelleyeoh r o g e r s p o t t i s w o o d e adventure action thriller
The Patriot,"['melgibson', 'heathledger', 'joelyrichardson']",rolandemmerich,"['rebel', 'southernusa', 'lossofson']","['drama', 'history', 'war']",rebel southernusa lossofson melgibson heathledger joelyrichardson r o l a n d e m m e r i c h drama history war
Ocean's Twelve,"['georgeclooney', 'bradpitt', 'catherinezeta-jones']",stevensoderbergh,"['sequel', 'fabergéegg', 'dutcheastindiancompany']","['thriller', 'crime']",sequel fabergéegg dutcheastindiancompany georgeclooney bradpitt catherinezeta-jones s t e v e n s o d e r b e r g h thriller crime
Mr. & Mrs. Smith,"['angelinajolie', 'bradpitt', 'vincevaughn']",dougliman,"['bomb', 'assassin', 'secretidentity']","['action', 'comedy', 'drama']",bomb assassin secretidentity angelinajolie bradpitt vincevaughn d o u g l i m a n action comedy drama
Insurgent,"['shailenewoodley', 'theojames', 'katewinslet']",robertschwentke,"['basedonnovel', 'revolution', 'dystopia']","['adventure', 'sciencefiction', 'thriller']",basedonnovel revolution dystopia shailenewoodley theojames katewinslet r o b e r t s c h w e n t k e adventure sciencefiction thriller
The Aviator,"['leonardodicaprio', 'cateblanchett', 'katebeckinsale']",martinscorsese,"['ladykiller', 'pilot', 'biography']",['drama'],ladykiller pilot biography leonardodicaprio cateblanchett katebeckinsale m a r t i n s c o r s e s e drama
Gulliver's Travels,"['jackblack', 'amandapeet', 'emilyblunt']",robletterman,"['journalist', 'forbiddenlove', 'princess']",['comedy'],journalist forbiddenlove princess jackblack amandapeet emilyblunt r o b l e t t e r m a n comedy
The Green Hornet,"['sethrogen', 'jaychou', 'christophwaltz']",michelgondry,"['bomb', 'martialarts', 'assassin']","['action', 'crime', 'comedy']",bomb martialarts assassin sethrogen jaychou christophwaltz m i c h e l g o n d r y action crime comedy
300: Rise of an Empire,"['sullivanstapleton', 'evagreen', 'lenaheadey']",noammurro,"['basedongraphicnovel', 'ancientgreece', 'duringcreditsstinger']","['action', 'war']",basedongraphicnovel ancientgreece duringcreditsstinger sullivanstapleton evagreen lenaheadey n o a m m u r r o action war
The Smurfs,"['hankazaria', 'neilpatrickharris', 'jaymamays']",rajagosnell,"['moon', 'magic', 'basedoncomicbook']","['animation', 'family', 'adventure']",moon magic basedoncomicbook hankazaria neilpatrickharris jaymamays r a j a g o s n e l l animation family adventure
Home on the Range,"['roseannebarr', 'judidench', 'jennifertilly']",willfinn,"['farm', 'cow', 'animal']","['animation', 'family']",farm cow animal roseannebarr judidench jennifertilly w i l l f i n n animation family
Allegiant,"['shailenewoodley', 'theojames', 'zoëkravitz']",robertschwentke,"['basedonnovel', 'revolution', 'dystopia']","['adventure', 'sciencefiction']",basedonnovel revolution dystopia shailenewoodley theojames zoëkravitz r o b e r t s c h w e n t k e adventure sciencefiction
Real Steel,"['hughjackman', 'dakotagoyo', 'evangelinelilly']",shawnlevy,"['fathersonrelationship', 'fight', 'sport']","['action', 'sciencefiction', 'drama']",fathersonrelationship fight sport hughjackman dakotagoyo evangelinelilly s h a w n l e v y action sciencefiction drama
The Smurfs 2,"['hankazaria', 'neilpatrickharris', 'brendangleeson']",rajagosnell,"['basedoncartoon', 'animation', 'smurf']","['fantasy', 'family', 'comedy']",basedoncartoon animation smurf hankazaria neilpatrickharris brendangleeson r a j a g o s n e l l fantasy family comedy
Speed 2: Cruise Control,"['sandrabullock', 'jasonpatric', 'willemdafoe']",jandebont,"['boat', 'cruise', 'computer']","['action', 'adventure', 'thriller']",boat cruise computer sandrabullock jasonpatric willemdafoe j a n d e b o n t action adventure thriller
Ender's Game,"['asabutterfield', 'harrisonford', 'haileesteinfeld']",gavinhood,"['basedonnovel', 'intolerance', 'chosenone']","['sciencefiction', 'action', 'adventure']",basedonnovel intolerance chosenone asabutterfield harrisonford haileesteinfeld g a v i n h o o d sciencefiction action adventure
Live Free or Die Hard,"['brucewillis', 'justinlong', 'timothyolyphant']",lenwiseman,"['usa', 'washingtond.c.', 'helicopter']","['action', 'thriller']",usa washingtond.c. helicopter brucewillis justinlong timothyolyphant l e n w i s e m a n action thriller
The Lord of the Rings: The Fellowship of the Ring,"['elijahwood', 'ianmckellen', 'cateblanchett']",peterjackson,"['elves', 'dwarves', 'orcs']","['adventure', 'fantasy', 'action']",elves dwarves orcs elijahwood ianmckellen cateblanchett p e t e r j a c k s o n adventure fantasy action
Around the World in 80 Days,"['jackiechan', 'stevecoogan', 'céciledefrance']",frankcoraci,"['paris', 'londonengland', 'newyork']","['action', 'adventure', 'comedy']",paris londonengland newyork jackiechan stevecoogan céciledefrance f r a n k c o r a c i action adventure comedy
Ali,"['willsmith', 'jamiefoxx', 'jonvoight']",michaelmann,"['usa', 'transporter', 'boxer']",['drama'],usa transporter boxer willsmith jamiefoxx jonvoight m i c h a e l m a n n drama
The Cat in the Hat,"['mikemyers', 'dakotafanning', 'spencerbreslin']",bowelch,"['cat', 'brothersisterrelationship', 'boredom']","['comedy', 'fantasy', 'family']",cat brothersisterrelationship boredom mikemyers dakotafanning spencerbreslin b o w e l c h comedy fantasy family
"I, Robot","['willsmith', 'bridgetmoynahan', 'alantudyk']",alexproyas,"['suicide', 'artificialintelligence', 'manvsmachine']","['action', 'sciencefiction']",suicide artificialintelligence manvsmachine willsmith bridgetmoynahan alantudyk a l e x p r o y a s action sciencefiction
Kingdom of Heaven,"['orlandobloom', 'evagreen', 'jeremyirons']",ridleyscott,"['crusade', 'epic', 'knight']","['drama', 'action', 'adventure']",crusade epic knight orlandobloom evagreen jeremyirons r i d l e y s c o t t drama action adventure
Stuart Little,"['michaelj.fox', 'geenadavis', 'hughlaurie']",robminkoff,"['brotherbrotherrelationship', 'basedonnovel', 'cat']","['animation', 'fantasy', 'family']",brotherbrotherrelationship basedonnovel cat michaelj.fox geenadavis hughlaurie r o b m i n k o f f animation fantasy family
The Princess and the Frog,"['anikanonirose', 'brunocampos', 'keithdavid']",ronclements,"['basedonnovel', 'voodoo', 'kiss']","['romance', 'family', 'animation']",basedonnovel voodoo kiss anikanonirose brunocampos keithdavid r o n c l e m e n t s romance family animation
The Martian,"['mattdamon', 'jessicachastain', 'kristenwiig']",ridleyscott,"['basedonnovel', 'mars', 'nasa']","['drama', 'adventure', 'sciencefiction']",basedonnovel mars nasa mattdamon jessicachastain kristenwiig r i d l e y s c o t t drama adventure sciencefiction
The Island,"['ewanmcgregor', 'scarlettjohansson', 'djimonhounsou']",michaelbay,"['clone', 'transplantation', ""loveofone'slife""]","['action', 'thriller', 'sciencefiction']",clone transplantation loveofone'slife ewanmcgregor scarlettjohansson djimonhounsou m i c h a e l b a y action thriller sciencefiction
Town & Country,"['warrenbeatty', 'dianekeaton', 'goldiehawn']",peterchelsom,"['architect', 'cellist', 'friends']","['comedy', 'romance']",architect cellist friends warrenbeatty dianekeaton goldiehawn p e t e r c h e l s o m comedy romance
Gone in Sixty Seconds,"['nicolascage', 'angelinajolie', 'giovanniribisi']",dominicsena,"['brotherbrotherrelationship', 'detective', 'carrace']","['action', 'crime', 'thriller']",brotherbrotherrelationship detective carrace nicolascage angelinajolie giovanniribisi d o m i n i c s e n a action crime thriller
Gladiator,"['russellcrowe', 'joaquinphoenix', 'connienielsen']",ridleyscott,"['rome', 'gladiator', 'arena']","['action', 'drama', 'adventure']",rome gladiator arena russellcrowe joaquinphoenix connienielsen r i d l e y s c o t t action drama adventure
Minority Report,"['tomcruise', 'colinfarrell', 'samanthamorton']",stevenspielberg,"['self-fulfillingprophecy', 'washingtond.c.', 'evidence']","['action', 'thriller', 'sciencefiction']",self-fulfillingprophecy washingtond.c. evidence tomcruise colinfarrell samanthamorton s t e v e n s p i e l b e r g action thriller sciencefiction
Harry Potter and the Chamber of Secrets,"['danielradcliffe', 'rupertgrint', 'emmawatson']",chriscolumbus,"['flyingcar', 'witch', 'magic']","['adventure', 'fantasy', 'family']",flyingcar witch magic danielradcliffe rupertgrint emmawatson c h r i s c o l u m b u s adventure fantasy family
Casino Royale,"['danielcraig', 'evagreen', 'madsmikkelsen']",martincampbell,"['italy', 'poker', 'casino']","['adventure', 'action', 'thriller']",italy poker casino danielcraig evagreen madsmikkelsen m a r t i n c a m p b e l l adventure action thriller
Planet of the Apes,"['markwahlberg', 'timroth', 'helenabonhamcarter']",timburton,"['gorilla', 'spacemarine', 'spacesuit']","['thriller', 'sciencefiction', 'action']",gorilla spacemarine spacesuit markwahlberg timroth helenabonhamcarter t i m b u r t o n thriller sciencefiction action
Terminator 2: Judgment Day,"['arnoldschwarzenegger', 'lindahamilton', 'robertpatrick']",jamescameron,"['cyborg', 'shotgun', 'post-apocalyptic']","['action', 'thriller', 'sciencefiction']",cyborg shotgun post-apocalyptic arnoldschwarzenegger lindahamilton robertpatrick j a m e s c a m e r o n action thriller sciencefiction
Public Enemies,"['christianbale', 'johnnydepp', 'giovanniribisi']",michaelmann,"['cinema', 'hidingplace', 'machinegun']","['history', 'crime', 'drama']",cinema hidingplace machinegun christianbale johnnydepp giovanniribisi m i c h a e l m a n n history crime drama
American Gangster,"['denzelwashington', 'russellcrowe', 'chiwetelejiofor']",ridleyscott,"['underdog', 'blackpeople', 'drugtraffic']","['drama', 'crime']",underdog blackpeople drugtraffic denzelwashington russellcrowe chiwetelejiofor r i d l e y s c o t t drama crime
True Lies,"['arnoldschwarzenegger', 'jamieleecurtis', 'tomarnold']",jamescameron,"['spy', 'terrorist', 'florida']","['action', 'thriller']",spy terrorist florida arnoldschwarzenegger jamieleecurtis tomarnold j a m e s c a m e r o n action thriller
The Taking of Pelham 1 2 3,"['denzelwashington', 'johntravolta', 'luisguzmán']",tonyscott,"['hostage', 'newyorkcity', 'newyorksubway']","['thriller', 'drama', 'crime']",hostage newyorkcity newyorksubway denzelwashington johntravolta luisguzmán t o n y s c o t t thriller drama crime
Little Fockers,"['robertdeniro', 'benstiller', 'owenwilson']",paulweitz,"['nurse', 'cat', 'father-in-law']","['comedy', 'romance']",nurse cat father-in-law robertdeniro benstiller owenwilson p a u l w e i t z comedy romance
The Other Guys,"['willferrell', 'markwahlberg', 'evamendes']",adammckay,"['narration', 'ceo', 'firetruck']","['action', 'comedy', 'crime']",narration ceo firetruck willferrell markwahlberg evamendes a d a m m c k a y action comedy crime
Eraser,"['arnoldschwarzenegger', 'jamescaan', 'vanessawilliams']",chuckrussell,"['suicide', 'ambush', 'showdown']","['action', 'drama', 'mystery']",suicide ambush showdown arnoldschwarzenegger jamescaan vanessawilliams c h u c k r u s s e l l action drama mystery
Django Unchained,"['jamiefoxx', 'christophwaltz', 'leonardodicaprio']",quentintarantino,"['bountyhunter', 'hero', 'plantation']","['drama', 'western']",bountyhunter hero plantation jamiefoxx christophwaltz leonardodicaprio q u e n t i n t a r a n t i n o drama western
The Hunchback of Notre Dame,"['tomhulce', 'demimoore', 'tonyjay']",garytrousdale,"['paris', 'basedonnovel', 'judge']","['drama', 'animation', 'family']",paris basedonnovel judge tomhulce demimoore tonyjay g a r y t r o u s d a l e drama animation family
The Emperor's New Groove,"['davidspade', 'johngoodman', 'earthakitt']",markdindal,"['centralandsouthamerica', 'birthday', 'emperor']","['adventure', 'animation', 'comedy']",centralandsouthamerica birthday emperor davidspade johngoodman earthakitt m a r k d i n d a l adventure animation comedy
The Expendables 2,"['sylvesterstallone', 'jasonstatham', 'dolphlundgren']",simonwest,"['airplane', 'numberintitle', 'airplanecrash']","['action', 'adventure', 'thriller']",airplane numberintitle airplanecrash sylvesterstallone jasonstatham dolphlundgren s i m o n w e s t action adventure thriller
National Treasure,"['nicolascage', 'dianekruger', 'justinbartha']",jonturteltaub,"['riddle', 'treasure', 'treasurehunt']","['adventure', 'action', 'thriller']",riddle treasure treasurehunt nicolascage dianekruger justinbartha j o n t u r t e l t a u b adventure action thriller
Eragon,"['edspeleers', 'jeremyirons', 'siennaguillory']",stefenfangmeier,"['basedonnovel', 'mythicalcreature', 'dragon']","['fantasy', 'action', 'adventure']",basedonnovel mythicalcreature dragon edspeleers jeremyirons siennaguillory s t e f e n f a n g m e i e r fantasy action adventure
Where the Wild Things Are,"['maxrecords', 'catherinekeener', 'laurenambrose']",spikejonze,"[""children'sbook"", 'igloo', 'wolfcostume']","['family', 'fantasy']",children'sbook igloo wolfcostume maxrecords catherinekeener laurenambrose s p i k e j o n z e family fantasy
Epic,"['joshhutcherson', 'amandaseyfried', 'colinfarrell']",chriswedge,"['fantasy', 'miniaturepeople']","['animation', 'adventure', 'family']",fantasy miniaturepeople joshhutcherson amandaseyfried colinfarrell c h r i s w e d g e animation adventure family
The Tourist,"['johnnydepp', 'angelinajolie', 'paulbettany']",florianhenckelvondonnersmarck,"['paris', 'hotel', 'falseidentity']","['action', 'thriller', 'romance']",paris hotel falseidentity johnnydepp angelinajolie paulbettany f l o r i a n h e n c k e l v o n d o n n e r s m a r c k action thriller romance
End of Days,"['arnoldschwarzenegger', 'gabrielbyrne', 'kevinpollak']",peterhyams,"['christianity', 'sex', ""newyear'seve""]","['action', 'fantasy', 'horror']",christianity sex newyear'seve arnoldschwarzenegger gabrielbyrne kevinpollak p e t e r h y a m s action fantasy horror
